Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Lockup Torque Converter,Carline Class Desc,Oil Viscosity,Calc Approach Desc,Label Recalc?
1.8,4,43.1256,1,15.0,2,2,Y,not provided,0W-20,   ,N
2.0,4,35.352,5,15.0,2,2,N,not provided,GF-5 0W-20,Derived 5-cycle label,N
2.0,4,34.2607,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
3.0,6,25.421999999999997,9,10.0,2,2,Y,Standard SUV 4WD,5W30 DC225.10,Derived 5-cycle label,N
1.4,4,40.4989,5,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
,8,22.3094,6,10.0,1,1,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
6.0,12,20.4316,8,10.0,2,2,Y,Minicompact Cars,##-##,Derived 5-cycle label,N
4.0,8,23.1455,9,10.0,2,2,Y,Subcompact Cars,5W40,Derived 5-cycle label,N
4.3,6,23.276999999999997,6,10.0,1,1,Y,Special Purpose Vehicle cab chassis,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.5,6,24.3301,10,15.0,2,2,Y,Standard Pick-up Trucks 4WD,SAE 5W-30 API SN Plus,Derived 5-cycle label,N
5.2,12,21.8661,8,10.0,2,2,Y,Minicompact Cars,##-##,Derived 5-cycle label,N
3.0,6,31.6194,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
1.6,4,64.2204,6,15.0,2,2,N,not provided,SAE 0W-20 API SN,Vehicle Specific 5-cycle label,N
3.0,6,24.1231,6,15.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
6.2,8,19.7548,6,10.0,1,1,N,Midsize Cars,0W-40,   ,N
,4,30.5,6,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.5,4,40.124,6,10.0,2,2,Y,not provided,GF-5 0W-20,   ,N
2.0,4,40.2961,6,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
